{'age': 46.0, 'workclass': 'Private', 'fnlwgt': 499477.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.2784808576107025, 'capital-loss': -1.0959702730178833, 'hours-per-week': 38.0, 'native-country': 'United-States'}

{'age': 49.0, 'workclass': 'Private', 'fnlwgt': 209222.0, 'education': 'Doctorate', 'educational-num': 20.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.009901195764541626, 'capital-loss': -1.9548566341400146, 'hours-per-week': 45.0, 'native-country': 'United-States'}

{'age': 38.0, 'workclass': 'Private', 'fnlwgt': 186388.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.6844220161437988, 'capital-loss': -1.1333178281784058, 'hours-per-week': 91.0, 'native-country': 'United-States'}

{'age': 48.0, 'workclass': 'Private', 'fnlwgt': 105785.0, 'education': 'Doctorate', 'educational-num': 19.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.4203096330165863, 'capital-loss': -1.9152262210845947, 'hours-per-week': 64.0, 'native-country': 'United-States'}

{'age': 45.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 191110.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.5964772701263428, 'capital-loss': -0.8091139793395996, 'hours-per-week': 119.0, 'native-country': 'United-States'}

{'age': 51.0, 'workclass': 'Private', 'fnlwgt': 123006.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.24073991179466248, 'capital-loss': -1.5398484468460083, 'hours-per-week': 53.0, 'native-country': 'United-States'}

{'age': 52.0, 'workclass': 'Private', 'fnlwgt': 152237.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.292990118265152, 'capital-loss': -0.5677205324172974, 'hours-per-week': 63.0, 'native-country': 'United-States'}

{'age': 46.0, 'workclass': 'Private', 'fnlwgt': 212211.0, 'education': 'Doctorate', 'educational-num': 19.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.23948726058006287, 'capital-loss': -1.7490050792694092, 'hours-per-week': 56.0, 'native-country': 'United-States'}

{'age': 33.0, 'workclass': 'Private', 'fnlwgt': 56301.0, 'education': 'Prof-school', 'educational-num': 15.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.6378988027572632, 'capital-loss': -0.6974366903305054, 'hours-per-week': 85.0, 'native-country': 'United-States'}

{'age': 50.0, 'workclass': 'Private', 'fnlwgt': 184155.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.10854482650756836, 'capital-loss': -0.9726837873458862, 'hours-per-week': 40.0, 'native-country': 'United-States'}

