{'age': 1.0, 'workclass': 'Private', 'fnlwgt': 343303.0, 'education': '10th', 'educational-num': -2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.613181710243225, 'capital-loss': -0.22077152132987976, 'hours-per-week': 38.0, 'native-country': 'Mexico'}

{'age': 7.0, 'workclass': 'Private', 'fnlwgt': 286377.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.285210371017456, 'capital-loss': 1.2283236980438232, 'hours-per-week': -23.0, 'native-country': 'United-States'}

{'age': 20.0, 'workclass': 'Private', 'fnlwgt': 26438.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5162742137908936, 'capital-loss': 0.04509243369102478, 'hours-per-week': 8.0, 'native-country': 'United-States'}

{'age': 37.0, 'workclass': 'Private', 'fnlwgt': 276579.0, 'education': '5th-6th', 'educational-num': -11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.454061985015869, 'capital-loss': 0.293347030878067, 'hours-per-week': 5.0, 'native-country': 'Mexico'}

{'age': 3.0, 'workclass': 'Private', 'fnlwgt': 415690.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.9358735084533691, 'capital-loss': 0.6046798229217529, 'hours-per-week': 8.0, 'native-country': 'United-States'}

{'age': 10.0, 'workclass': 'Private', 'fnlwgt': 249904.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.3719116151332855, 'capital-loss': 0.10338297486305237, 'hours-per-week': 16.0, 'native-country': 'United-States'}

{'age': 16.0, 'workclass': 'Private', 'fnlwgt': 800413.0, 'education': '10th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.2540156841278076, 'capital-loss': 0.8888020515441895, 'hours-per-week': 24.0, 'native-country': 'United-States'}

{'age': 9.0, 'workclass': 'Private', 'fnlwgt': 98158.0, 'education': '11th', 'educational-num': 4.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.9274744987487793, 'capital-loss': 0.39029714465141296, 'hours-per-week': -4.0, 'native-country': 'United-States'}

{'age': 12.0, 'workclass': 'Private', 'fnlwgt': 373488.0, 'education': '5th-6th', 'educational-num': -8.0, 'marital-status': 'Never-married', 'occupation': 'Handlers-cleaners', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.008208751678467, 'capital-loss': -0.06419345736503601, 'hours-per-week': 47.0, 'native-country': 'Mexico'}

{'age': 0.0, 'workclass': 'Private', 'fnlwgt': 327120.0, 'education': '10th', 'educational-num': -4.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.7925461530685425, 'capital-loss': -0.09285053610801697, 'hours-per-week': 31.0, 'native-country': 'Mexico'}

{'age': 17.0, 'workclass': 'Private', 'fnlwgt': 674580.0, 'education': '5th-6th', 'educational-num': -4.0, 'marital-status': 'Never-married', 'occupation': 'Handlers-cleaners', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.8844850063323975, 'capital-loss': 0.4820883572101593, 'hours-per-week': 41.0, 'native-country': 'Mexico'}

{'age': -7.0, 'workclass': 'Private', 'fnlwgt': 136971.0, 'education': 'Some-college', 'educational-num': 9.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.8715969324111938, 'capital-loss': -0.7177410125732422, 'hours-per-week': 9.0, 'native-country': 'United-States'}

{'age': 7.0, 'workclass': 'Private', 'fnlwgt': 354520.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.7484821081161499, 'capital-loss': 0.4655649960041046, 'hours-per-week': 14.0, 'native-country': 'United-States'}

{'age': 17.0, 'workclass': '?', 'fnlwgt': 83543.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': '?', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.9274401664733887, 'capital-loss': 1.6530512571334839, 'hours-per-week': -54.0, 'native-country': 'United-States'}

{'age': 18.0, 'workclass': 'Private', 'fnlwgt': -1067.0, 'education': 'HS-grad', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Farming-fishing', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.3204578459262848, 'capital-loss': -0.9327518939971924, 'hours-per-week': 59.0, 'native-country': 'United-States'}

{'age': 9.0, 'workclass': 'Private', 'fnlwgt': 347803.0, 'education': 'Bachelors', 'educational-num': 13.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5178592205047607, 'capital-loss': 0.22771230340003967, 'hours-per-week': 0.0, 'native-country': 'United-States'}

{'age': 28.0, 'workclass': 'Private', 'fnlwgt': 315124.0, 'education': '5th-6th', 'educational-num': -6.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.8246283531188965, 'capital-loss': 0.253873735666275, 'hours-per-week': 19.0, 'native-country': 'Mexico'}

{'age': 14.0, 'workclass': 'Private', 'fnlwgt': 386732.0, 'education': '5th-6th', 'educational-num': -4.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.8593024015426636, 'capital-loss': 0.46895530819892883, 'hours-per-week': 13.0, 'native-country': 'Mexico'}

{'age': 2.0, 'workclass': 'Private', 'fnlwgt': 240515.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5308880805969238, 'capital-loss': -0.6581368446350098, 'hours-per-week': 22.0, 'native-country': 'United-States'}

{'age': 9.0, 'workclass': 'Private', 'fnlwgt': 10588.0, 'education': 'Some-college', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.42716917395591736, 'capital-loss': -0.39332684874534607, 'hours-per-week': 8.0, 'native-country': 'United-States'}

{'age': 70.0, 'workclass': '?', 'fnlwgt': 340018.0, 'education': '7th-8th', 'educational-num': 3.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.1088110208511353, 'capital-loss': 0.984021782875061, 'hours-per-week': -11.0, 'native-country': 'United-States'}

{'age': 68.0, 'workclass': '?', 'fnlwgt': 802033.0, 'education': '7th-8th', 'educational-num': 5.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.371672511100769, 'capital-loss': 0.9283125400543213, 'hours-per-week': 4.0, 'native-country': 'United-States'}

{'age': 81.0, 'workclass': '?', 'fnlwgt': 360279.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.043190598487854, 'capital-loss': 0.8587542772293091, 'hours-per-week': -18.0, 'native-country': 'United-States'}

